站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58944,20230831215528,5.1,1007.1,43,280,6.9,1.0,10263.1
59113,20230831215528,30.6,1022.6,62,136,3.1,1.3,10208.6
59126,20230831215528,23.6,1021.9,33,6,9.6,0.6,10171.0
59133,20230831215528,33.8,1007.6,58,74,12.2,0.6,10356.9
59134,20230831215528,15.6,1007.6,50,171,1.7,0.7,10038.6
59321,20230831215528,16.8,1022.4,73,184,5.2,0.1,10290.1
52323,20230831215528,27.9,1000.1,86,81,7.6,0.5,10117.3
52418,20230831215528,25.1,1017.4,63,347,5.0,0.3,10484.9
52424,20230831215528,30.8,1007.7,83,212,1.8,0.8,10320.7
52436,20230831215528,12.0,1025.0,59,277,0.5,0.2,10065.6
52446,20230831215528,11.2,1022.2,75,193,8.4,0.7,10454.0
52447,20230831215528,34.7,1007.0,75,76,8.9,1.2,10364.0
52533,20230831215528,23.0,1020.5,97,258,8.9,1.1,10381.3
52546,20230831215528,23.1,1025.3,59,97,9.0,0.8,10467.4
52652,20230831215528,0.3,1002.6,29,197,6.8,1.0,10479.7
52661,20230831215528,16.5,1021.8,38,296,9.5,0.3,10495.2
52674,20230831215528,11.2,1010.6,1,278,11.3,0.1,10315.8
52679,20230831215528,23.6,1014.5,39,123,9.5,1.2,10155.0
52681,20230831215528,28.4,1008.0,88,333,11.8,0.0,10498.5
52787,20230831215528,21.0,1005.2,93,23,3.6,0.1,10148.3
52797,20230831215528,8.6,1016.4,17,278,14.8,0.9,10210.5
52884,20230831215528,30.1,1025.6,45,276,14.8,1.0,10043.6
52895,20230831215528,9.9,1024.8,45,158,9.8,0.7,10436.2
52983,20230831215528,27.7,1024.8,54,154,12.6,1.4,10188.5
52984,20230831215528,33.6,1025.9,10,15,12.6,0.5,10183.3
52986,20230831215528,13.4,1024.9,14,219,6.2,1.3,10224.3
52996,20230831215528,9.3,1012.9,92,3,2.7,0.3,10400.6
53821,20230831215528,32.7,1012.1,98,55,12.6,0.3,10065.7
53915,20230831215528,23.7,1013.8,52,346,3.4,1.2,10142.1
53923,20230831215528,30.2,1006.9,80,148,3.4,0.1,10054.6
56074,20230831215528,28.8,1025.9,89,119,9.8,1.5,10460.5
56080,20230831215528,26.0,1022.2,1,272,4.0,1.0,10025.2
56093,20230831215528,34.0,1010.5,2,261,10.8,0.4,10245.8
56096,20230831215528,5.8,1024.9,2,107,0.3,0.1,10122.7
57014,20230831215528,14.3,1016.6,76,178,8.0,0.7,10248.5
57996,20230831215528,0.0,1021.5,64,116,11.4,0.0,10348.3
59072,20230831215528,14.6,1025.4,61,304,11.9,1.3,10460.0
59082,20230831215528,24.9,1013.8,34,323,12.9,0.6,10334.0
59087,20230831215528,13.1,1023.2,79,236,9.5,1.3,10438.6
59088,20230831215528,26.1,1007.6,64,9,11.8,1.1,10109.2
59096,20230831215528,29.5,1025.0,79,70,0.9,1.5,10232.5
59097,20230831215528,1.2,1025.2,13,241,1.8,0.9,10444.0
59107,20230831215528,5.4,1020.3,68,354,5.3,0.1,10387.0
59116,20230831215528,22.0,1020.0,78,218,2.1,0.5,10048.3
59117,20230831215528,28.0,1016.9,58,213,6.9,0.3,10206.9
59271,20230831215528,16.9,1025.1,83,100,2.9,1.4,10013.5
59278,20230831215528,15.3,1016.8,58,36,7.8,1.2,10150.5
59280,20230831215528,18.8,1010.1,47,182,7.2,1.1,10395.0
59287,20230831215528,10.9,1008.3,53,127,4.2,1.3,10282.7
59289,20230831215528,0.9,1018.8,77,331,12.7,0.2,10343.8
59293,20230831215528,27.1,1020.1,77,127,5.1,0.6,10219.1
59294,20230831215528,14.1,1015.2,39,283,3.6,0.0,10293.2
59298,20230831215528,4.2,1024.0,62,275,2.8,0.5,10312.0
59303,20230831215528,4.8,1007.4,4,136,2.3,0.7,10040.0
59304,20230831215528,10.6,1012.8,84,80,9.9,0.0,10000.9
59306,20230831215528,6.3,1005.5,23,301,1.2,1.3,10449.7
59310,20230831215528,3.1,1010.5,46,28,0.7,0.3,10100.1
59316,20230831215528,22.6,1021.5,59,211,9.7,0.9,10454.2
59317,20230831215528,26.5,1007.4,80,164,3.7,1.1,10146.5
59324,20230831215528,8.6,1018.7,52,210,12.7,0.5,10478.4
59456,20230831215528,2.6,1014.6,69,202,3.2,1.0,10392.7
59462,20230831215528,25.5,1018.8,19,119,9.3,0.1,10151.2
59478,20230831215528,32.0,1008.2,91,54,8.7,1.3,10139.8
59485,20230831215528,5.6,1018.4,75,87,11.3,0.1,10485.7
59488,20230831215528,27.4,1006.3,30,94,13.9,0.2,10273.0
59493,20230831215528,6.7,1016.6,83,323,13.9,1.3,10208.0
59501,20230831215528,24.5,1003.5,86,287,7.2,0.3,10184.2
59658,20230831215528,8.8,1011.3,85,80,3.3,1.4,10073.7
59663,20230831215528,23.1,1022.8,17,281,14.1,0.2,10165.1
59664,20230831215528,17.3,1006.3,56,106,11.6,0.5,10128.2
59673,20230831215528,13.6,1010.5,16,111,7.2,0.4,10334.8
59754,20230831215528,6.5,1011.4,17,340,7.8,0.4,10489.3
57947,20230831215528,19.0,1018.2,60,61,10.2,1.2,10016.9
57957,20230831215528,34.9,1006.9,82,298,12.4,1.2,10379.4
57958,20230831215528,15.0,1003.8,6,59,7.0,0.0,10381.3
59021,20230831215528,8.1,1023.5,14,182,5.4,1.3,10473.5
59023,20230831215528,10.3,1007.8,56,77,4.5,0.2,10288.5
59027,20230831215528,4.9,1020.4,66,263,11.8,1.5,10130.8
59037,20230831215528,21.3,1009.2,58,136,11.5,1.4,10032.4
59046,20230831215528,19.0,1011.2,79,343,1.2,0.7,10205.2
59058,20230831215528,26.7,1011.4,80,333,5.7,1.4,10128.0
59065,20230831215528,11.1,1022.5,14,302,14.9,1.5,10417.5
59209,20230831215528,28.1,1021.0,20,314,11.9,0.5,10348.2
59211,20230831215528,21.2,1009.6,39,105,3.0,0.4,10058.9
59218,20230831215528,2.4,1020.4,86,191,13.3,0.4,10334.1
59228,20230831215528,34.6,1012.0,67,285,1.0,0.4,10328.7
59242,20230831215528,22.3,1013.3,46,223,14.5,0.1,10434.6
59254,20230831215528,5.7,1026.4,54,161,13.7,1.1,10205.4
59265,20230831215528,2.4,1024.0,87,82,11.9,1.5,10015.1
59417,20230831215528,11.6,1002.8,42,127,14.5,1.2,10117.5
59431,20230831215528,15.8,1009.2,93,118,10.5,0.1,10191.1
59446,20230831215528,13.3,1016.4,5,334,14.8,1.3,10306.2
59453,20230831215528,26.5,1007.5,95,206,1.0,0.5,10212.1
59626,20230831215528,26.3,1003.9,47,127,9.4,1.5,10000.6
59631,20230831215528,2.6,1023.2,32,146,8.9,0.3,10000.4
59632,20230831215528,3.8,1000.4,20,106,2.1,1.5,10220.0
59644,20230831215528,12.4,1000.2,82,297,13.2,1.1,10359.1
59647,20230831215528,0.2,1018.5,85,265,6.5,1.0,10029.4
56691,20230831215528,31.5,1006.9,3,189,6.7,0.9,10199.1
56693,20230831215528,1.5,1011.0,13,223,2.7,0.7,10311.7
56792,20230831215528,25.2,1024.3,15,239,14.0,0.3,10486.3
56793,20230831215528,30.3,1016.2,93,348,13.9,0.8,10419.5
57606,20230831215528,22.8,1014.5,10,146,8.0,0.3,10177.3
57614,20230831215528,18.4,1024.2,15,145,0.9,0.7,10078.9
57625,20230831215528,29.1,1001.2,63,226,2.1,0.4,10199.3
57647,20230831215528,18.5,1025.1,36,126,5.5,1.1,10352.2
57707,20230831215528,33.5,1003.3,100,211,2.0,1.2,10431.1
57710,20230831215528,9.5,1011.7,37,171,6.9,0.2,10136.5
57712,20230831215528,11.2,1014.6,70,249,9.4,0.7,10455.2
57718,20230831215528,32.5,1023.2,62,148,4.0,0.0,10209.0
57722,20230831215528,26.9,1006.8,70,289,3.6,1.3,10121.8
57729,20230831215528,32.1,1024.4,62,201,0.1,0.5,10142.0
57731,20230831215528,11.9,1024.0,74,5,3.1,0.7,10212.3
57741,20230831215528,18.5,1019.3,82,22,14.0,1.5,10493.5
57803,20230831215528,18.9,1001.3,87,177,12.1,0.3,10297.3
57805,20230831215528,10.7,1015.3,12,258,11.0,0.1,10291.7
57806,20230831215528,16.0,1001.5,48,226,2.2,0.9,10022.9
57816,20230831215528,4.2,1016.3,70,81,4.8,0.6,10173.0
57825,20230831215528,15.4,1026.0,48,143,3.9,0.9,10495.0
57827,20230831215528,35.0,1007.7,21,332,12.3,0.3,10057.3
57832,20230831215528,13.4,1002.1,26,186,12.9,0.0,10176.3
57839,20230831215528,33.7,1024.0,80,17,1.5,0.0,10478.0
57840,20230831215528,23.2,1011.9,16,177,14.4,1.4,10097.1
57902,20230831215528,28.9,1010.7,34,298,14.1,0.5,10322.0
57906,20230831215528,8.5,1024.4,65,39,9.7,0.5,10086.3
57907,20230831215528,0.1,1002.8,35,130,0.9,0.2,10228.1
57910,20230831215528,24.1,1001.2,31,192,1.1,0.1,10078.6
57912,20230831215528,4.3,1016.6,31,15,5.8,0.3,10447.8
57916,20230831215528,23.4,1006.9,68,58,6.0,0.3,10226.5
57922,20230831215528,12.7,1009.4,69,136,8.8,1.0,10429.5
57926,20230831215528,18.8,1014.3,58,285,3.1,0.4,10347.6
57932,20230831215528,18.7,1026.0,20,302,14.7,0.1,10042.7
59758,20230831215528,14.9,1004.7,96,21,3.8,0.7,10006.0
59838,20230831215528,15.6,1022.6,3,247,12.1,0.6,10034.7
59845,20230831215528,16.8,1000.3,62,230,9.7,0.7,10396.6
59849,20230831215528,1.5,1024.9,58,4,14.6,0.1,10482.0
59855,20230831215528,1.7,1009.7,30,273,9.9,0.8,10330.7
59948,20230831215528,14.4,1012.2,99,309,3.6,0.8,10152.1
59954,20230831215528,20.9,1015.6,93,222,5.5,1.4,10373.4
59981,20230831215528,17.6,1017.2,72,272,8.6,0.9,10352.0
53399,20230831215528,10.6,1002.5,88,158,9.2,0.8,10114.0
53593,20230831215528,33.1,1026.3,50,185,8.2,0.4,10042.9
53698,20230831215528,14.6,1001.2,77,191,13.1,0.0,10465.2
53798,20230831215528,32.1,1003.6,38,270,0.3,0.1,10229.1
54308,20230831215528,10.2,1017.0,83,36,10.2,1.0,10125.1
54311,20230831215528,34.4,1000.3,90,340,3.3,1.4,10395.5
54401,20230831215528,9.2,1017.0,54,38,9.5,0.1,10339.2
54405,20230831215528,10.0,1002.4,24,284,2.8,1.3,10191.6
54423,20230831215528,21.7,1016.5,29,23,1.2,0.2,10088.2
54429,20230831215528,28.8,1006.7,58,180,2.3,0.6,10305.6
54436,20230831215528,6.5,1007.8,80,254,7.9,1.2,10049.7
54449,20230831215528,24.7,1019.8,84,264,11.4,0.6,10262.4
54518,20230831215528,9.1,1018.4,23,354,14.1,0.6,10326.4
54534,20230831215528,4.5,1007.0,53,349,4.3,0.9,10313.7
54535,20230831215528,5.5,1019.5,84,174,9.5,0.2,10385.0
54539,20230831215528,31.9,1000.6,15,152,11.1,1.3,10058.4
54602,20230831215528,21.6,1020.7,77,128,2.9,0.2,10493.8
54606,20230831215528,26.0,1023.3,96,106,1.1,0.7,10389.0
54618,20230831215528,7.9,1013.1,78,314,11.3,1.2,10392.4
54624,20230831215528,13.6,1004.4,2,285,12.0,1.5,10108.3
54705,20230831215528,29.8,1019.1,99,209,2.6,0.2,10039.4
53898,20230831215528,5.5,1020.3,24,135,2.3,0.6,10405.5
53986,20230831215528,29.6,1016.7,50,132,12.3,0.2,10404.1
57051,20230831215528,21.0,1005.9,20,38,11.5,1.2,10230.6
57067,20230831215528,22.5,1013.0,26,1,10.6,0.7,10308.7
57071,20230831215528,25.5,1022.9,60,119,2.2,1.4,10325.0
57077,20230831215528,29.9,1019.2,21,154,11.9,0.9,10054.5
57083,20230831215528,1.2,1011.5,98,274,4.1,1.2,10139.9
57084,20230831215528,25.2,1004.9,69,234,2.9,1.3,10014.3
57089,20230831215528,27.1,1009.8,99,102,1.8,0.2,10060.5
57091,20230831215528,33.2,1009.2,81,280,14.7,0.5,10040.6
57156,20230831215528,33.2,1013.9,7,253,2.4,1.5,10266.3
57178,20230831215528,8.4,1000.2,33,94,11.1,1.3,10237.2
57181,20230831215528,28.2,1011.4,37,319,1.5,1.1,10046.7
57193,20230831215528,2.4,1019.0,16,57,13.7,0.7,10225.6
57285,20230831215528,12.2,1000.3,98,273,12.5,0.7,10481.4
57290,20230831215528,33.9,1014.6,18,19,2.8,0.6,10449.9
57297,20230831215528,24.5,1004.1,14,345,9.7,1.4,10308.9
58005,20230831215528,16.6,1019.4,19,17,3.4,0.9,10003.3
58111,20230831215528,22.3,1017.3,46,110,13.3,1.0,10012.6
58208,20230831215528,13.9,1021.7,34,182,0.5,1.0,10065.4
50136,20230831215528,32.3,1023.2,27,89,0.5,1.1,10163.8
50246,20230831215528,29.2,1020.8,81,357,13.4,0.2,10337.2
50247,20230831215528,18.3,1023.3,43,324,2.3,1.5,10449.3
50349,20230831215528,18.7,1012.8,70,219,8.0,1.4,10350.9
50353,20230831215528,10.7,1001.1,15,43,5.9,1.2,10237.4
50442,20230831215528,33.7,1007.1,69,69,7.5,1.2,10165.2
50468,20230831215528,17.9,1002.7,7,100,4.0,1.2,10038.6
50557,20230831215528,22.9,1011.9,31,354,12.2,1.1,10252.1
50564,20230831215528,2.3,1010.2,79,31,11.3,0.0,10241.5
50656,20230831215528,4.7,1025.4,21,311,11.5,0.8,10384.6
50658,20230831215528,26.0,1021.3,52,24,9.2,0.1,10280.3
50674,20230831215528,27.4,1012.2,13,188,14.6,0.6,10010.5
50739,20230831215528,11.8,1020.5,72,42,5.4,0.1,10116.6
50742,20230831215528,17.6,1016.1,82,62,7.5,1.3,10073.1
50745,20230831215528,9.0,1025.1,98,125,7.9,0.1,10251.6
50756,20230831215528,13.8,1016.3,26,176,1.6,1.3,10029.4
50758,20230831215528,11.7,1023.6,84,333,2.8,1.5,10182.5
50774,20230831215528,28.9,1000.9,22,122,14.8,1.4,10146.6
50778,20230831215528,27.5,1013.0,82,248,9.6,1.4,10306.0
50788,20230831215528,31.4,1013.4,96,181,13.8,0.5,10100.9
50844,20230831215528,15.1,1008.2,19,338,9.6,1.4,10428.0
50853,20230831215528,13.9,1008.2,12,49,11.1,0.8,10307.6
50854,20230831215528,13.7,1008.9,60,287,9.6,0.0,10185.6
50862,20230831215528,26.0,1022.7,14,284,5.2,0.9,10365.5
50873,20230831215528,8.9,1019.9,88,58,9.8,0.9,10141.6
50877,20230831215528,23.6,1025.7,21,41,6.6,1.1,10341.8
50888,20230831215528,10.9,1022.0,46,1,0.6,0.0,10147.6
50950,20230831215528,13.3,1023.3,37,40,2.0,0.5,10357.0
50953,20230831215528,34.0,1011.5,3,276,14.6,1.3,10363.4
50955,20230831215528,30.2,1013.8,84,259,0.8,0.7,10369.9
50963,20230831215528,21.8,1008.8,43,244,5.5,1.1,10358.2
50968,20230831215528,18.5,1012.3,27,37,9.3,0.6,10003.5
50973,20230831215528,2.4,1024.9,94,238,2.6,0.7,10342.5
50978,20230831215528,28.4,1017.3,22,260,3.7,1.2,10255.9
50983,20230831215528,13.0,1008.6,73,51,4.9,1.0,10228.8
54094,20230831215528,12.9,1020.6,75,339,0.1,1.2,10434.2
54096,20230831215528,17.6,1021.0,6,351,12.9,1.4,10400.9
57251,20230831215528,1.7,1004.1,57,200,13.4,0.2,10180.4
57256,20230831215528,27.7,1017.6,13,110,9.8,0.8,10147.1
57259,20230831215528,21.4,1020.7,23,26,11.0,0.0,10349.1
57265,20230831215528,27.2,1022.8,14,79,1.3,1.0,10218.0
57278,20230831215528,8.3,1023.2,72,200,6.3,1.2,10483.8
57279,20230831215528,3.6,1001.8,34,15,14.4,0.9,10160.2
57355,20230831215528,22.2,1004.6,92,14,13.5,0.1,10171.1
57358,20230831215528,25.8,1015.3,79,350,1.2,1.1,10085.0
57359,20230831215528,3.7,1023.0,44,220,2.9,0.6,10215.5
57363,20230831215528,0.8,1006.1,57,303,0.4,0.9,10293.5
57378,20230831215528,9.3,1025.6,69,315,6.9,1.1,10250.2
57381,20230831215528,30.8,1017.7,43,323,4.0,0.0,10337.1
57395,20230831215528,7.3,1015.3,39,10,2.3,0.1,10394.8
57399,20230831215528,18.7,1003.9,27,166,14.6,0.6,10090.9
57439,20230831215528,7.6,1002.4,13,95,1.2,0.0,10219.9
57445,20230831215528,1.3,1015.4,45,69,7.1,1.4,10444.9
57447,20230831215528,34.6,1016.5,62,148,2.4,1.5,10396.0
57458,20230831215528,2.1,1000.9,53,324,3.5,1.4,10330.5
57461,20230831215528,34.4,1008.9,45,68,3.8,1.3,10006.1
57476,20230831215528,8.1,1005.9,47,245,8.3,1.1,10074.1
57482,20230831215528,15.2,1005.4,23,130,9.0,0.3,10191.7
57483,20230831215528,23.8,1009.4,41,77,2.0,0.0,10344.0
57493,20230831215528,31.4,1010.9,77,11,3.8,0.4,10234.4
57494,20230831215528,35.0,1003.1,23,150,7.1,0.1,10438.2
57545,20230831215528,20.0,1009.2,42,315,4.3,1.5,10197.6
57573,20230831215528,34.4,1003.3,28,231,8.4,1.5,10353.4
57581,20230831215528,28.1,1016.1,43,143,8.5,1.0,10396.7
57583,20230831215528,34.9,1014.8,86,222,12.4,1.2,10422.2
57595,20230831215528,15.1,1007.6,100,296,14.3,0.4,10328.7
58402,20230831215528,24.3,1013.2,61,12,10.5,1.1,10005.5
58407,20230831215528,5.4,1006.6,97,135,11.9,1.5,10452.2
58500,20230831215528,28.9,1011.6,66,341,0.4,1.1,10043.3
57554,20230831215528,24.4,1000.6,21,8,9.2,0.0,10077.8
57562,20230831215528,10.1,1003.4,8,315,7.2,1.1,10201.4
57574,20230831215528,9.1,1000.6,76,351,1.2,1.1,10166.9
57584,20230831215528,13.2,1009.9,30,79,12.8,1.5,10077.5
57642,20230831215528,23.4,1024.8,10,253,1.1,0.1,10263.6
57649,20230831215528,33.8,1020.8,79,194,1.8,0.2,10077.3
57655,20230831215528,20.5,1012.0,22,123,1.2,0.8,10230.1
57662,20230831215528,28.5,1016.6,66,238,8.6,1.4,10134.4
57669,20230831215528,20.3,1003.6,71,158,14.1,0.3,10168.8
57671,20230831215528,2.4,1006.6,11,261,11.4,0.0,10321.5
57673,20230831215528,26.5,1002.1,78,18,13.2,0.2,10440.2
57679,20230831215528,7.8,1006.1,49,280,1.7,0.1,10027.9
57682,20230831215528,20.6,1021.0,81,301,0.3,0.6,10341.6
57687,20230831215528,29.0,1009.9,89,341,14.7,0.2,10414.6
57745,20230831215528,26.5,1000.3,71,18,1.7,0.7,10441.4
57749,20230831215528,16.4,1020.4,31,105,9.7,1.1,10323.5
57752,20230831215528,31.4,1015.6,49,52,0.6,1.2,10217.3
57758,20230831215528,34.9,1006.2,71,207,1.8,0.6,10192.6
57761,20230831215528,30.7,1020.5,76,321,5.0,0.2,10347.5
57766,20230831215528,25.9,1002.7,60,36,4.9,0.2,10034.8
57774,20230831215528,20.9,1020.8,80,343,12.1,0.7,10367.0
57776,20230831215528,23.0,1021.9,87,280,9.3,0.4,10038.9
57779,20230831215528,28.0,1005.8,12,261,7.8,0.3,10258.6
57780,20230831215528,10.7,1002.0,94,196,3.4,0.1,10197.3
57841,20230831215528,23.6,1003.9,79,192,7.2,1.3,10343.3
57845,20230831215528,26.0,1012.8,36,103,14.7,0.1,10323.4
57853,20230831215528,34.0,1014.4,15,6,4.7,1.0,10109.6
57857,20230831215528,1.5,1009.5,3,238,10.2,1.2,10108.2
57860,20230831215528,14.0,1019.3,71,114,5.2,0.8,10492.3
57866,20230831215528,7.1,1019.9,54,241,14.7,1.3,10402.4
57872,20230831215528,5.8,1008.7,13,181,14.2,0.7,10337.6
57874,20230831215528,12.1,1002.2,36,29,7.2,0.2,10295.8
57889,20230831215528,10.6,1005.1,34,264,14.1,0.7,10091.8
57965,20230831215528,10.3,1018.9,97,91,6.5,0.6,10434.9
57972,20230831215528,2.8,1015.1,42,311,0.3,0.6,10090.3
57974,20230831215528,24.8,1005.0,53,289,4.2,1.5,10175.3
50936,20230831215528,26.8,1012.2,90,84,11.5,1.4,10322.5
50945,20230831215528,0.7,1010.7,100,261,13.3,1.1,10240.7
50948,20230831215528,1.7,1020.2,18,306,14.0,0.2,10318.0
50949,20230831215528,9.3,1018.4,83,251,4.9,1.4,10341.2
54041,20230831215528,1.9,1011.3,95,159,5.3,0.3,10334.5
54049,20230831215528,12.6,1010.7,65,305,8.7,0.7,10023.3
54063,20230831215528,1.7,1020.7,52,223,11.2,0.4,10318.1
54064,20230831215528,22.8,1020.1,20,238,14.1,0.1,10043.1
54142,20230831215528,16.0,1011.4,75,304,1.4,0.1,10244.1
54157,20230831215528,21.4,1008.4,52,258,11.2,1.1,10320.1
54161,20230831215528,15.7,1002.7,94,73,4.6,0.0,10402.0
54165,20230831215528,18.2,1010.2,39,193,14.1,1.3,10464.3
54171,20230831215528,6.6,1024.7,54,134,10.3,0.8,10401.5
54181,20230831215528,28.0,1007.6,59,357,10.5,0.1,10242.8
54186,20230831215528,21.8,1021.1,43,40,11.0,0.4,10359.1
54195,20230831215528,2.1,1000.5,92,67,4.5,1.3,10370.1
54260,20230831215528,24.3,1015.9,92,190,0.3,0.5,10133.0
54263,20230831215528,6.5,1015.4,60,217,13.0,0.1,10182.8
54266,20230831215528,12.8,1001.8,95,167,10.4,0.8,10105.4
54273,20230831215528,2.0,1017.2,74,302,5.5,1.2,10332.7
54276,20230831215528,1.0,1015.6,70,278,13.7,0.1,10227.7
54284,20230831215528,2.9,1024.7,57,157,14.1,1.1,10039.3
54285,20230831215528,21.2,1022.2,42,340,1.0,0.3,10481.6
54286,20230831215528,32.8,1016.3,100,312,4.8,1.2,10265.6
54292,20230831215528,9.5,1023.6,49,67,8.9,0.6,10014.4
54363,20230831215528,24.2,1017.8,6,118,9.7,0.5,10150.1
54374,20230831215528,9.7,1026.4,95,201,1.1,1.5,10428.9
54377,20230831215528,0.8,1024.4,46,352,10.0,0.4,10277.8
54386,20230831215528,28.9,1015.5,85,175,11.3,0.8,10269.6
58026,20230831215528,5.5,1020.9,60,180,13.9,0.0,10381.0
58027,20230831215528,11.9,1009.2,72,234,10.6,0.9,10487.0
58038,20230831215528,26.3,1013.5,62,296,2.9,1.0,10251.1
58040,20230831215528,4.0,1024.9,18,111,2.4,0.1,10474.7
58047,20230831215528,16.5,1005.1,49,92,14.0,0.3,10080.5
58130,20230831215528,20.8,1021.3,77,336,0.3,1.1,10259.7
58135,20230831215528,6.1,1020.9,31,331,1.9,1.5,10016.9
58138,20230831215528,31.4,1006.6,69,282,5.5,0.5,10232.0
58141,20230831215528,11.4,1000.9,53,142,2.7,0.1,10009.3
58143,20230831215528,6.6,1000.0,92,191,3.6,1.5,10338.5
58150,20230831215528,7.2,1016.8,64,320,13.3,0.9,10137.5
58158,20230831215528,9.6,1004.4,12,5,9.2,0.3,10256.0
58238,20230831215528,11.2,1002.4,7,280,6.0,1.0,10224.0
58241,20230831215528,15.9,1013.1,69,178,2.4,1.2,10238.6
58251,20230831215528,18.7,1014.6,31,241,5.0,0.5,10043.8
58252,20230831215528,34.5,1025.5,86,297,8.1,0.5,10337.6
58255,20230831215528,5.1,1020.7,88,172,5.3,0.9,10366.6
58259,20230831215528,2.0,1019.8,59,42,1.7,0.2,10224.0
58265,20230831215528,0.9,1003.3,24,295,7.0,0.9,10068.7
58343,20230831215528,6.4,1005.3,10,85,14.0,0.7,10000.5
58345,20230831215528,15.6,1006.3,42,126,8.0,1.2,10123.5
58354,20230831215528,29.6,1019.8,75,359,12.7,0.8,10474.3
58356,20230831215528,19.3,1014.0,16,319,5.1,0.6,10332.4
58358,20230831215528,2.9,1005.3,55,75,9.3,0.7,10499.6
57598,20230831215528,22.1,1005.4,47,125,6.2,1.2,10050.4
57696,20230831215528,29.3,1001.8,74,29,9.2,0.3,10385.0
57789,20230831215528,25.6,1004.6,83,287,9.2,1.3,10368.8
57793,20230831215528,10.7,1005.7,5,98,8.2,0.2,10310.7
57799,20230831215528,1.6,1025.0,66,49,4.0,1.1,10358.9
57894,20230831215528,6.9,1018.6,71,65,12.0,1.5,10214.7
57896,20230831215528,22.8,1023.8,56,205,7.4,0.9,10037.9
57993,20230831215528,34.1,1007.7,63,203,12.6,1.4,10070.9
58506,20230831215528,17.0,1011.6,95,204,10.1,0.7,10078.2
